variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_raw[65],-0.66884128225,-0.6694549999999999,0.09235131028086835,0.09198421050000016,-0.8211931499999999,-0.5200294000000001,1.006460147033685,697.4076250642221,1750.3353723483208
b_raw[66],0.568672621975,0.566192,0.15893548626027545,0.1591237515,0.31082390000000004,0.8324047499999998,1.0041864609367943,2069.1350620456387,2676.068789854039
b_raw[67],-0.5652425886,-0.5625225,0.1340735299968465,0.13387062569999994,-0.7866984499999999,-0.35006075000000003,1.0032872220509905,1157.5815634254968,1610.0880781748147
b_raw[68],-0.483423130625,-0.484892,0.11432728672139016,0.11351452769999996,-0.6719085,-0.29213890000000003,1.0034486757905454,1015.2369563025903,2113.154318221093
b_raw[69],-0.622764257,-0.6214545,0.15687144594243707,0.1576433754000001,-0.8884927499999999,-0.3701524000000001,1.0029887511411437,2113.941100167627,2604.205133336159
b_raw[70],1.1068074335,1.1076899999999998,0.13745061328256236,0.13619163600000023,0.8827016999999999,1.3307229999999997,1.0013597345836438,1182.6148279947804,2686.606619362028
b_raw[71],-0.9183397249999999,-0.915459,0.11858237873503169,0.11933595659999996,-1.1154805,-0.7270631500000002,1.0075852404027088,732.3930253718213,1352.6710820321616
b_raw[72],0.281075750849,0.28135,0.1272749067703879,0.12639016739999998,0.072324015,0.49029324999999996,1.0056240819839133,1087.6785948082543,2377.1941405808807
b_raw[73],1.5588165775,1.555845,0.1388890936933072,0.135302076,1.3273255000000002,1.7892784999999995,1.004555167638598,828.6933906269883,1765.7609990457815
b_raw[74],-0.6071448425,-0.605947,0.1328042492795517,0.13583803590000001,-0.8222905,-0.38920275000000004,1.005677190452062,1137.719529435946,2390.062022783066
b_raw[75],2.9595342225,2.95993,0.12535820809456263,0.12612478199999996,2.7526255,3.165984,1.009258748460441,319.9087686905384,938.2508423109674
b_raw[76],2.4052785225,2.402735,0.12470691466848811,0.12163250399999984,2.2043429999999997,2.61763,1.006437935175897,444.74963051247175,1329.5096720371992
b_raw[77],0.73008681275,0.729878,0.1551608489017822,0.15941953020000005,0.47015229999999997,0.9826212499999998,1.001759704902685,1532.5923632277397,2953.309076440124
b_raw[78],-0.43718036310749997,-0.4369945,0.1338896221262953,0.1326489633,-0.65356985,-0.2146945500000001,1.0050660765807782,990.9465322443909,2533.3676358484076
b_raw[79],-0.91714986075,-0.9185435,0.1623660832790584,0.16807420770000003,-1.181841,-0.64779355,1.0020891744894505,1516.4888284857514,2333.0073380308595
b_raw[80],0.42328709124999997,0.4243975,0.10312414667496524,0.10418600850000002,0.25334355000000003,0.5896068999999999,1.0046163584388041,757.9817681174393,1284.3541416578587
b_raw[81],-2.78340246,-2.775655,0.17587089385576227,0.1738867409999998,-3.077078,-2.496514,1.0023466458330468,940.5409485227032,1784.7305631913698
b_raw[82],0.604751366,0.6044685,0.11512138697955787,0.11405122889999993,0.41970789999999997,0.7974604,1.0059285017711679,821.6794521596446,2255.660558224952
b_raw[83],0.63580819835,0.631309,0.16415993739307574,0.1656649827,0.37273355,0.91003695,1.003831106314148,1621.5787329281166,2654.7282993477047
b_raw[84],1.508809461,1.50308,0.16586352504113805,0.16371610499999997,1.241322,1.7873669999999997,1.0036333493438179,1215.806650547972,2056.6425975632887
b_raw[85],-0.339899026336,-0.338791,0.16299591689828577,0.1644121857,-0.60205945,-0.07070051000000013,1.0013940374074004,1913.7149690179722,2726.444155852572
b_raw[86],-0.3500494778,-0.349819,0.13383810845056865,0.1365511665,-0.5705303499999999,-0.12890960000000004,1.0034936957431593,1571.6444942964895,2121.746486818702
b_raw[87],0.63421898125,0.6347929999999999,0.11699228377416214,0.11811725939999998,0.44094099999999997,0.8292582500000001,1.0057858400313617,1096.7001930387162,2168.269371164071
b_raw[88],0.26315278130534997,0.264517,0.15657246633995026,0.15669747659999997,0.007689139000000003,0.5192707,1.0017557661664676,1804.4965055992793,2295.3123639428013
b_raw[89],-2.3758606075,-2.3751499999999997,0.16905368884598201,0.16522835700000002,-2.6523415,-2.104183,1.002847951597264,1021.5058308800913,1936.6751446246387
b_raw[90],0.5718925871,0.5701855,0.16284112148040386,0.16538106479999995,0.30585495,0.8434991500000001,1.002071101669365,2495.7830145151097,2596.5819193955217
b_raw[91],-1.185526566,-1.186285,0.13861100241272,0.13647332999999995,-1.4149040000000002,-0.9553173,1.0025796151237445,1331.409712833893,2349.665250797159
